starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:15 2023	1675105515	0	672	672	671
Tue Jan 31 01:05:17 2023	1675105517	7	667	674	229
Tue Jan 31 01:05:14 2023	1675105514	0	675	675	674
Tue Jan 31 01:05:14 2023	1675105514	0	677	677	676
Tue Jan 31 01:05:17 2023	1675105517	0	678	678	308
Tue Jan 31 01:05:17 2023	1675105517	0	680	680	310
Tue Jan 31 01:05:17 2023	1675105517	1	680	681	297
Tue Jan 31 01:05:13 2023	1675105513	2	679	681	678
Tue Jan 31 01:05:19 2023	1675105519	0	681	681	681
Tue Jan 31 01:05:19 2023	1675105519	1	685	686	684
Tue Jan 31 01:05:18 2023	1675105518	0	688	688	656
Tue Jan 31 01:05:16 2023	1675105516	0	688	688	676
Tue Jan 31 01:05:14 2023	1675105514	0	690	690	685
Tue Jan 31 01:05:19 2023	1675105519	0	693	693	693
Tue Jan 31 01:05:19 2023	1675105519	0	694	694	676
Tue Jan 31 01:05:15 2023	1675105515	0	694	694	693
Tue Jan 31 01:05:14 2023	1675105514	0	695	695	694
Tue Jan 31 01:05:16 2023	1675105516	0	695	695	637
Tue Jan 31 01:05:17 2023	1675105517	7	689	696	257
Tue Jan 31 01:05:15 2023	1675105515	0	697	697	694
Tue Jan 31 01:05:17 2023	1675105517	10	686	697	256
Tue Jan 31 01:05:18 2023	1675105518	0	697	697	667
Tue Jan 31 01:05:17 2023	1675105517	8	690	698	257
Tue Jan 31 01:05:17 2023	1675105517	6	694	701	260
Tue Jan 31 01:05:19 2023	1675105519	1	702	702	695
Tue Jan 31 01:05:19 2023	1675105519	0	703	703	703
Tue Jan 31 01:05:18 2023	1675105518	0	706	706	705
Tue Jan 31 01:05:19 2023	1675105519	1	708	709	700
Tue Jan 31 01:05:19 2023	1675105519	0	709	709	642
Tue Jan 31 01:05:13 2023	1675105513	0	709	709	708
Tue Jan 31 01:05:14 2023	1675105514	0	709	709	691
Tue Jan 31 01:05:17 2023	1675105517	6	704	710	273
Tue Jan 31 01:05:18 2023	1675105518	0	711	711	711
