starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:35 2023	1675105475	0	233	233	225
Tue Jan 31 01:04:39 2023	1675105479	0	233	233	104
Tue Jan 31 01:04:40 2023	1675105480	0	233	233	232
Tue Jan 31 01:04:34 2023	1675105474	0	233	234	215
Tue Jan 31 01:04:33 2023	1675105473	2	232	234	231
Tue Jan 31 01:04:33 2023	1675105473	2	233	235	232
Tue Jan 31 01:04:35 2023	1675105475	0	235	235	234
Tue Jan 31 01:04:39 2023	1675105479	0	236	236	232
Tue Jan 31 01:04:34 2023	1675105474	0	236	236	140
Tue Jan 31 01:04:39 2023	1675105479	0	235	236	234
Tue Jan 31 01:04:35 2023	1675105475	0	236	236	235
Tue Jan 31 01:04:38 2023	1675105478	0	236	236	180
Tue Jan 31 01:04:40 2023	1675105480	0	236	236	236
Tue Jan 31 01:04:34 2023	1675105474	0	236	237	228
Tue Jan 31 01:04:34 2023	1675105474	0	237	237	233
Tue Jan 31 01:04:34 2023	1675105474	0	237	237	218
Tue Jan 31 01:04:38 2023	1675105478	0	237	237	189
Tue Jan 31 01:04:38 2023	1675105478	0	237	237	222
Tue Jan 31 01:04:41 2023	1675105481	0	238	238	237
Tue Jan 31 01:04:34 2023	1675105474	0	238	239	238
Tue Jan 31 01:04:33 2023	1675105473	1	238	239	237
Tue Jan 31 01:04:34 2023	1675105474	1	238	239	225
Tue Jan 31 01:04:38 2023	1675105478	0	239	240	222
Tue Jan 31 01:04:34 2023	1675105474	1	239	240	221
Tue Jan 31 01:04:38 2023	1675105478	0	240	240	219
Tue Jan 31 01:04:34 2023	1675105474	1	239	240	230
Tue Jan 31 01:04:34 2023	1675105474	0	240	240	239
Tue Jan 31 01:04:34 2023	1675105474	0	240	240	240
Tue Jan 31 01:04:33 2023	1675105473	2	238	240	238
Tue Jan 31 01:04:34 2023	1675105474	0	240	240	240
Tue Jan 31 01:04:33 2023	1675105473	2	239	240	238
Tue Jan 31 01:04:34 2023	1675105474	1	241	241	240
Tue Jan 31 01:04:38 2023	1675105478	0	241	241	235
Tue Jan 31 01:04:40 2023	1675105480	0	242	242	241
Tue Jan 31 01:04:38 2023	1675105478	0	242	242	150
Tue Jan 31 01:04:39 2023	1675105479	0	242	242	242
Tue Jan 31 01:04:35 2023	1675105475	0	243	243	242
Tue Jan 31 01:04:36 2023	1675105476	0	243	243	225
Tue Jan 31 01:04:34 2023	1675105474	3	241	244	224
Tue Jan 31 01:04:35 2023	1675105475	0	244	244	244
Tue Jan 31 01:04:33 2023	1675105473	2	243	245	242
Tue Jan 31 01:04:38 2023	1675105478	0	245	245	241
Tue Jan 31 01:04:35 2023	1675105475	0	245	245	244
Tue Jan 31 01:04:34 2023	1675105474	0	245	245	244
Tue Jan 31 01:04:34 2023	1675105474	0	246	246	227
Tue Jan 31 01:04:38 2023	1675105478	0	246	246	237
Tue Jan 31 01:04:34 2023	1675105474	0	246	246	227
Tue Jan 31 01:04:35 2023	1675105475	0	246	246	205
Tue Jan 31 01:04:34 2023	1675105474	0	246	246	246
Tue Jan 31 01:04:34 2023	1675105474	0	246	246	241
Tue Jan 31 01:04:34 2023	1675105474	0	247	247	247
Tue Jan 31 01:04:35 2023	1675105475	0	247	247	245
Tue Jan 31 01:04:33 2023	1675105473	2	245	247	244
Tue Jan 31 01:04:39 2023	1675105479	0	247	247	247
Tue Jan 31 01:04:35 2023	1675105475	0	248	248	235
Tue Jan 31 01:04:35 2023	1675105475	0	248	248	246
Tue Jan 31 01:04:39 2023	1675105479	0	248	248	248
